file,average_score,average_time,solution,nodes,edges
Instances/Set_102_234/p7.2.b.txt,30.0,21.182804465293884,"[[(19, 24), (21, 25), (21, 27), (18, 26), (18, 25), (18, 24)], [(19, 24), (17, 28), (16, 28), (18, 24)]]",31,465
Instances/Set_66_234/p5.2.q.txt,50.0,1.1213430166244507,"[[(19, 24), (21, 27), (21, 25), (18, 25), (18, 24)], [(19, 24), (18, 26), (17, 28), (16, 28), (18, 24)]]",31,465
Instances/Set_33_234/p3.3.a.txt,120.0,2.7624112367630005,"[[(19, 24), (21, 25), (21, 27), (18, 26), (18, 25), (18, 24)], [(19, 24), (17, 28), (16, 28), (18, 24)]]",31,465
Instances/Set_66_234/p5.3.h.txt,50.0,1.1442158222198486,"[[(19, 24), (21, 25), (21, 27), (18, 26), (18, 25), (18, 24)], [(19, 24), (17, 28), (16, 28), (18, 24)]]",31,465
Instances/Set_33_234/p3.3.e.txt,120.0,2.672271251678467,"[[(35, 35), (37, 31), (35, 35)], [(35, 35), (35, 40), (35, 35)]]",101,5050
Instances/Set_66_234/p5.2.j.txt,50.0,1.1390715837478638,"[[(35, 35), (37, 31), (35, 35)], [(35, 35), (35, 40), (35, 35)]]",101,5050
Instances/Set_102_234/p7.4.t.txt,30.0,21.148270964622498,"[[(19, 24), (21, 25), (21, 27), (18, 25), (18, 24)], [(19, 24), (18, 26), (17, 28), (16, 28), (18, 24)]]",31,465
Instances/Set_33_234/p3.4.h.txt,120.0,2.7405362129211426,"[[(19, 24), (21, 27), (21, 25), (18, 25), (18, 24)], [(19, 24), (18, 26), (17, 28), (16, 28), (18, 24)]]",31,465
Instances/Set_21_234/p2.3.a.txt,125.0,1.7325769662857056,"[[(35, 35), (37, 31), (35, 35)], [(35, 35), (35, 40), (35, 35)]]",101,5050
Instances/Set_64_234/p6.4.b.txt,168.0,3.505395770072937,"[[(35, 35), (37, 31), (35, 35)], [(35, 35), (35, 40), (35, 35)]]",101,5050
Instances/Set_32_234/p1.2.i.txt,30.0,2.511980414390564,"[[(19, 24), (21, 25), (21, 27), (18, 26), (18, 25), (18, 24)], [(19, 24), (17, 28), (16, 28), (18, 24)]]",31,465
Instances/Set_102_234/p7.2.g.txt,30.0,21.154435396194458,"[[(19, 24), (21, 25), (21, 27), (18, 25), (18, 24)], [(19, 24), (18, 26), (17, 28), (16, 28), (18, 24)]]",31,465
Instances/Set_32_234/p1.2.c.txt,30.0,2.5279381275177,"[[(0, 0), (1, 3), (0, 0)], [(0, 0), (3, 3), (3, 1), (1, 1), (0, 0)]]",17,136
Instances/Set_66_234/p5.2.f.txt,50.0,1.1389474868774414,"[[(0, 0), (3, 3), (0, 0)], [(0, 0), (1, 3), (3, 1), (1, 1), (0, 0)]]",17,136
Instances/Set_32_234/p1.2.g.txt,30.0,2.5145572423934937,"[[(19, 24), (21, 25), (21, 27), (18, 26), (18, 25), (18, 24)], [(19, 24), (17, 28), (16, 28), (18, 24)]]",31,465
Instances/Set_21_234/p2.3.f.txt,125.0,1.7143430709838867,"[[(19, 24), (21, 25), (21, 27), (18, 25), (18, 24)], [(19, 24), (18, 26), (17, 28), (16, 28), (18, 24)]]",31,465
Instances/Set_66_234/p5.3.e.txt,50.0,1.1401785612106323,"[[(10, 14), (8, 13), (11, 12), (11, 14)], [(10, 14), (8, 17), (10, 18), (11, 14)]]",32,496
Instances/Set_21_234/p2.4.a.txt,125.0,1.709098219871521,"[[(10, 14), (8, 13), (11, 12), (11, 14)], [(10, 14), (8, 17), (11, 17), (11, 14)]]",32,496
Instances/Set_33_234/p3.3.t.txt,120.0,2.668103814125061,"[[(0, 0), (3, 1), (1, 1), (0, 0)], [(0, 0), (3, 3), (1, 3), (0, 0)]]",17,136
Instances/Set_21_234/p2.3.e.txt,125.0,1.7280540466308594,"[[(0, 0), (1, 3), (0, 0)], [(0, 0), (3, 3), (3, 1), (1, 1), (0, 0)]]",17,136
Instances/Set_102_234/p7.2.h.txt,30.0,21.22992432117462,"[[(10, 14), (11, 12), (8, 13), (11, 14)], [(10, 14), (8, 17), (11, 17), (11, 14)]]",32,496
